stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0,1.69,0,0,0,0,9.86,1.41,0,0.28,0.28,0,0,0,0,0,0
21Day,0,0,0,1.48,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,9.62,1.11,1.11,0,0.37,0.37,0,0.37,0,0,0
3Month,0,0.1,0,2.29,0,1.04,0,0,1.14,0,0.42,0.21,0.42,0.21,0.73,0.1,0,0,0.21,0.21,0,4.06,0,0.21,0.1,0.42,0.1,0.21,0.52,0.21
22Month,0,0.14,0.27,0.41,0,0.14,0.14,0.27,2.19,0.14,0.55,0,0.14,0.27,0.82,0,0.14,0,0,0,0,3.14,0.27,0,0,0.55,0,0,0,0.14
