stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,1.97,0.28,0.28,0,0.28,0,0,0
21Day,0,0.37,0,1.48,0,0,0,0,0.37,0,0,0.74,1.11,0,0,0.37,0,0.37,0,0,0.37
3Month,0.1,0.52,0,0,0.1,0.1,0.21,0.1,0,0.21,0.1,0.31,0,0,0,0,0.94,0,0.1,0.31,0.52
