stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0
21Day,1.48,0,0,0.74,0,0.37,0.74,0.74,0,0,0,0.37,0.37
3Month,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0.21
22Month,0.27,1.5,0.14,0,0,0.14,0.14,0,0.14,0.14,0,0,0.27
