stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.69,0,0,0,0,0.28,0,0,0
21Day,4.44,0,0,0,0,0,0,1.48,0,0,0,0,0,0.74,0,0
3Month,17.27,0.1,0.1,0,0.62,0.31,0.42,12.48,0.31,0.1,0.1,0.1,0,0.1,0.21,0.1
22Month,2.05,0.14,0,0.14,0.41,0,0.14,1.37,0,0,0.14,0,0,0,0,0
