stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0,0,0,0,0.28,0.85,0,0,0.85,0,0,0,0,0
21Day,1.85,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0.74,0,0,0.37,0.37,0.74,0.74,0,0,0,0,0,0,0,1.85
3Month,0.62,0.1,0.52,0.62,0,0.1,3.22,1.66,0,1.25,1.66,0.1,1.04,14.87,0.21,0.73,24.44,0.83,0,0.21,13.31,0.31,0.21,0.1,1.14,0.1,8.11,0.1,0.42,2.7,14.15
22Month,0,0.27,0.14,0.96,0,0.27,2.32,1.64,0.14,2.46,0.55,0,0.41,3.14,0.14,0.41,15.3,0,0.14,0.14,0.55,0,0,0,0.27,0.14,3.14,0,0,0,5.88
