stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,0,0,0,0,0,0,1,0,0
72hpf,0.85,0,0.85,0,0,0,0,0,0.85,0,8.74,0,0.28,7.05,37.77,0,1.13,0,0,0,0.56,0.85,0,0
21Day,2.96,0,0.37,1.11,0,0,0,0,0.37,0,9.99,0,7.4,6.66,7.4,0,0,1.11,0,0.74,0,0.37,0,0
3Month,0,0,0.21,0,0.1,0,0,0.1,0.1,0.21,0.31,0,0,0.1,0.1,0.1,0,0,0.21,0.31,0,0.21,0.21,0.1
22Month,0,0.14,0.27,0,0.14,0.14,0.27,2.19,0.14,0,0.96,0.27,0.14,0,0.14,0,0,0,0.41,2.46,0,0.14,0,0.14
