stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,1.11,0,0
3Month,0,0.1,0.1,0,0,0.1,0,0,0.21,0,0.21,0,0
22Month,0.41,0.41,0.14,0.14,6.56,0,0.82,0.68,0.14,0,0.14,0.14,0.14
