stage,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Nephron_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,1.85,1.11,0,0.37,0,0.37,0
3Month,0.31,0.1,0.21,0,0.52,0.1,0,0.1,0,0.1
