stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,1.69,0,1.13,0,6.48,0.85,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,4.44,0.37,0,0,0,0,0,0,0.37,0.37,0,2.59,0,0.37,0,2.22,1.11,0.37,0.37,0.37,0.74,0.37,0,0.37,0.37,0
3Month,0,0,0.31,0,0.1,0.52,0.21,0,0.21,0,0.1,1.56,0,0.1,0.1,0.31,0,0,0,0,0,0.1,2.6,0,0,0,1.98,0.31
22Month,0,0,1.5,0,0,0.14,0,2.05,3.42,0.14,0,6.29,0,0.14,0,0,0.14,0,0,0,0,0,1.78,0,0,0,0,0
