stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,2,5,1,17,0,1,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0.56,0,1.41,0.85,2.54,0,0.56,0.28,0,0,0
21Day,1.11,0,0.74,0,2.59,1.48,0,0,0,0.37,0,1.11,0.37,0.37,0.74,0.37,0,0,0,0,0.37,0
3Month,0,0,0.62,0,0,0,0.21,0.31,0.21,0,0,0.31,0.1,0.21,0,0,0,0,0,3.02,0,0.1
22Month,0,0.14,0.14,0,0,0,0.14,0.27,0.14,0,0,0.14,0.14,0,0,0,0.14,0,0,0.41,0,0
