stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,48,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,1.69,0.28,0,0,0,0,0,0,0,0.28,1.41,0,1.13,0,0,0,0.28,4.23,4.51,0.28,0.56,0,0,3.1,0,0.28,0,0
21Day,0,0,0,2.22,2.59,0,0,0,0,0,0,0.37,0.74,0,0,0.37,1.48,0,0.37,0,0,3.7,1.48,0,1.48,0.37,0.37,2.22,0,1.11,0,0.37
3Month,0.1,0.1,0.42,6.97,0.1,0,0.1,0.52,0.42,1.46,0.1,0,5.72,1.46,0.42,0.52,0.52,0.1,0,0,0.42,2.6,0.21,0.31,0.1,0.1,11.34,0,0,0.31,37.34,0
22Month,0,0,0,2.05,0,0,0,0.27,0.27,1.91,0.27,0,2.73,0.14,0,0.14,0.14,0.27,0.14,0.14,0,0.27,0.27,0,0,0,2.73,0.14,0.14,0,0.55,0
