stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0,0.56,1.69,0,0,0,0,0,0,0,0,0.85,1.13,0,1.69,0,0,0,0,10.71,10.99,0,0.28,0,1.41,0,0.56,0.56,0,0,0
21Day,1.85,0.74,0,4.81,0,2.59,0,0,0,0,0.37,0,0,0,0,1.48,0.37,9.25,0,0,0.37,0,4.44,5.55,0,0,0,5.55,0,6.66,0.37,0,0,0
3Month,0,0.52,0.62,3.64,0,0,0,0.52,1.14,0,4.47,0.31,0,2.7,0.42,0.62,0.94,1.77,0.42,0,0.31,0.94,0.42,0.21,0.21,0,0,0.1,2.08,173.5,0,0.73,58.35,1.04
22Month,0,0.41,0,1.37,0,0,0.27,0.68,0.14,0.41,5.74,0.55,0.14,1.23,0,0.14,0.55,1.5,0.14,0.27,0.14,0,0.27,0,0.41,0,5.19,0,0,50.15,0.14,0,0.14,0.41
