stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,1,0,13,0
72hpf,0.56,0,0.28,0.28,0,0.28,0
21Day,0,0,0.37,0.37,0,0,0
3Month,0,0,0,0,0.1,0,0.1
22Month,0,0.27,0,0,0.14,0,0
