stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,7,0,1,10,0,0,0,0
72hpf,0.85,0.56,0,0,0,0,0.56,0.85,0.28,0.28,2.54,0.85,0.56,0,0.85,0
21Day,0.37,0.37,0.37,0,0,0,0.37,0,3.7,0.37,0.37,0.74,0,0,0,0.37
3Month,0.21,0,0,0.1,0.31,0,0,0,0.52,0,0,0,0,0.21,0,0
22Month,0.41,0,0,0,2.05,0.14,0,0,0.96,0,0,0,0,0,0,0
