stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0.37,0,0,0,0,0.37
3Month,0.31,1.46,0,0.1,1.14,0.1,0,0.94,0.1,2.39,0.21,0.52,0.94,0.42,0.1,0.1,0,0,0.1,0.1,0.21,0.1,0.52
22Month,0.14,0.14,0,0,0.14,0.27,0.14,1.37,0,1.78,0,0,0.27,0.27,0,0,0,0,0,0.14,0,0,0
