stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0,0,0,8,56,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,3.66,0.85,6.2,0,0.28,0,0,0,0,0,1.13,0,0.85,4.51,0.85,6.48,0,0.28,0,0.28,37.49,14.66,0.56,0,3.66,0,1.97,0.56,0,0.56,0
21Day,5.55,0.37,8.14,0,9.25,0,6.29,0,0.74,0,0,0.74,4.44,0.37,0.37,3.33,2.59,14.8,0,0,2.22,0,12.58,3.33,0,0,4.07,1.11,0.74,1.11,0.74,0,1.48
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.82,0.82,0,0,0,0,0.14,2.19,0.14,3.83,0.82,0,0.82,0,0.14,1.5,0.82,0.14,0.14,0.27,0,0.14,0,0.14,0.14,0,0,0,0,0,0,0.27
