stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,54,16,0,0,1,0,0,0,0,1,0,0,0
72hpf,3.66,0,0,1.41,0.28,3.66,0,0.28,0,0,0,0,0,0.28,0,0.28,5.64,0.28,3.66,0,0.28,0,127.68,10.43,0.28,0.85,2.54,0,0,1.13,0,1.97,0,0,0
21Day,1.11,0,0.37,6.29,0,0.74,0,0,0,0,0,1.11,0,1.85,0,0.37,2.59,0.37,6.29,0,0,0,64.01,2.59,0,1.48,2.22,2.59,1.11,0.37,1.11,0,0,0,0.74
3Month,0.31,0.1,0.42,1.25,0.1,0,0,0,0.1,0.52,0.1,2.29,1.14,0.1,0.83,0.1,1.25,0.31,5.72,1.77,0.31,0.42,11.55,0.1,0.1,2.91,0.21,0.31,31.1,0,0,0,0.73,1.77,0.21
22Month,0.14,0.68,0,0.96,0,0,0.14,0,0.27,0.41,1.09,4.65,0.27,0,1.09,0.14,0,0.96,7.52,0.41,0,0,10.52,0,0.41,5.19,0,0.27,21.59,0,0,0,0,0,0
