stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,1.69,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0.37,0.74,0.37,0,0.74,0,0,0,0.37,0,0.37,3.33,0.37,0,0.37,0.74,0,0,0.74,0,0.74,1.48,0,0,0.37,0,0,0,0.37,0,0,0,0.74
3Month,0,0.52,0.62,7.59,0,0.83,0,6.24,1.25,0.21,5.41,1.04,0,194.41,0.42,1.98,1.25,1.98,0.62,0.1,0.42,0.42,0.52,0,0.1,0.73,0.1,1.66,0.1,2.08,0,0,0.62,1.14,4.78
22Month,0,0.14,6.29,3.69,0,0.41,0,5.88,0.96,0,9.98,0.14,0.14,217.14,0.41,0.14,0.82,2.05,0.14,0,0,0,0.41,0,0.55,0.41,0,0.14,0,1.37,0,0.14,0.27,0,0.68
