stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,4,0,0,0
72hpf,0,0.28,1.13,0.28,0,0.28,0,0.28,1.41,3.66,0.56,0,0.28
21Day,0.74,0,1.11,0,0.37,0.74,0.37,0,0.37,2.59,0.37,0.74,0
