stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mt_rich_cell,Pancreatic_cell,T_cell
21Day,0,0,0.74,0,0,0
22Month,0.14,1.23,0,0.14,0.14,1.09
