stage,Cardiomyocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Retinal_cell
24hpf,3,0,0,0,0,0
72hpf,1.97,0,0,0,0,0
21Day,1.11,0,0,0,0.74,0.37
3Month,0,0.1,0.1,0.1,0,0
