stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,3.95,0,0,0,0,0,0,0,0,0,0.28,1.41,0,0.28,0,0,0,0,1.69,3.1,0,0,0.85,0.28,0,0,0,0.28,0,0,0
21Day,0.74,0,0.37,8.88,0.37,2.22,0,0.37,0,0.37,0,0,0,3.7,1.11,1.11,5.92,0.74,3.7,0,0,1.48,0,1.85,0.74,0,0,2.22,0.37,0,0,0,0,0,0,3.33
3Month,0.1,1.04,0.83,21.32,0.1,0,0.21,0.31,3.22,4.37,0,26.84,4.78,0.73,14.67,1.56,6.03,6.24,1.35,0,0.31,2.5,1.04,0.21,0.21,0.94,0.42,0.1,0.83,0.1,3.12,0.21,0,1.25,1.56,10.51
22Month,0,2.19,0.41,5.88,0,0,0.14,0.55,2.05,11.07,0.55,22.96,2.19,2.19,15.44,0.14,0.55,5.74,2.73,0.14,1.09,1.23,0.14,0,0,1.23,0.14,0,0,0,1.37,0.68,0,0.41,0,2.05
