stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0.28,0.28,0,0,0,0.28,0,0,0,0.28,0,0,5.07,0,0.85,0,7.05,1.69,0,0,0,1.13,0,0.28,0.56,0,0,0,0,0
21Day,1.11,0,0,7.03,1.48,0.74,0,0.37,1.48,0,0.37,0.74,0,1.85,0,18.87,0,0,0.74,5.18,4.07,0,0,0,0.37,2.22,0.37,1.11,0,1.11,0,0,0
3Month,0,0.1,0.1,4.06,0,0,5.72,1.25,5.2,1.25,0.21,1.46,0.31,0.62,0.62,8.11,0.21,0.1,0.1,0.1,0,0.42,0.1,0,0,0.42,25.38,0.21,0,0,0.1,13.83,0.62
22Month,0,0.27,1.64,0.55,0,0,5.19,1.78,23.5,0.14,0,5.33,0,0,0.41,6.15,0,0.68,0,0.14,0,0.41,0,0.41,0.14,0,25.55,0.27,0.14,0,0,0.27,0.14
