stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,19,10,44,1,1,1,217,0,1,10,20,18,71,1,25,481,6,2
72hpf,0.56,0,10.99,0,0,0.28,0.56,0,0,0,1.97,0,0.28,0,3.1,2.54,0.28,0
3Month,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0
