stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3Month,0,0.62,0.1,0.21,0,16.85,0.1,2.81,0.1,0.1,0,0.21,0.21,0.21,0.1,0.31,0.1
22Month,0.14,0,0,0.14,0.14,9.43,0.14,0,0,0,0.68,0,0,0,0,0,0
