stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
72hpf,0,0.28,0.28,0.28,0,0,0,0,0,0.28,0.56,0,0.85,0,0,5.64,2.25,0,0,0.28,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0.74,0,0,0,0,0.74,0.37,0,3.7,0.37,0,0,0.74,0,0,0
3Month,0,0,0.21,0,0.1,2.08,0.1,0,0.42,0,0.1,0,0.1,0.1,0.1,0,0.1,0.21,0,0,0.62,0.1,0.21
22Month,0,0,0.14,0,0.14,1.37,0.14,0,0.41,0,0,0.14,0.27,0.27,0,0,0,0.14,0.14,0,0,0,0
