stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,60,1,0,17,0,0,0,0,0,0,0,0,0,0,1,6,3,1,114,0,0,27,315,1,0,3,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,1.13,0.56,0,0.56,0,0.56,1.97,1.69,0,0,0,0,0.56,1.13,0,0,0,0,0
21Day,0.74,0,0,0.37,0.37,1.11,0,0.37,0,0,0,0,0.37,11.84,0,0,0,0.74,1.48,0,0.37,1.48,0,0,0,0,0,3.33,0.37,0.37,0,0,0,5.18
3Month,0,0.1,0.42,3.33,0,0,0.42,0,0.1,0.83,0.94,4.99,1.04,0.83,2.5,0.31,0.73,1.87,1.35,0.31,0.73,0,0.21,0.21,0.1,0,1.04,72.08,0,0,0.1,0.94,113.69,26.11
22Month,0.14,0,0,0.82,0,0,0,0,0,0.14,0.55,1.37,0,0.27,0.27,0,0,1.37,0.14,0.27,0,0,0,0,0,0,0,7.79,0.14,0,0,0,0.41,7.24
