stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.21,0.1,0.62,0,0.1,0.1,0,0,2.18,0.1,0.31,0.1
22Month,0.27,0,0,0.41,0.14,0.14,0,0,0.14,6.97,0,0,0
