stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,3,0,9,0,0,0,40,160,2,0,2,0,0,0,0,0,0,0,0
72hpf,14.09,0.85,14.09,1.97,6.76,0,0.28,0,0,0,0,0,0.28,0.28,3.38,13.25,1.13,19.45,0.28,0.28,0,338.5,96.39,4.51,1.41,14.66,0.28,0,10.15,3.1,1.69,0.85,0,0
21Day,9.99,1.48,34.41,2.22,9.99,0,16.28,0,1.11,0.37,3.7,0.74,4.44,4.07,3.33,5.92,2.22,18.5,0,2.96,0,160.2,67.71,1.85,2.22,5.18,9.62,0,9.99,6.29,9.25,1.85,0,1.48
3Month,0.42,0,6.76,0.21,0,0.21,0.31,0.1,0.42,0,1.04,0.52,0.1,0.73,1.14,0.94,0.83,1.87,0,0.52,0.1,1.87,2.7,3.95,0.21,0,0.21,0.62,0,0,0,0.42,0.62,0.1
22Month,0,0.27,2.73,0.27,0,0.14,0.41,0,0.27,0.14,0.68,0.14,0,0,0.96,0.27,0.14,0.55,0,0.14,0,0.96,0.14,1.37,0,0,0,0.14,0,0,0,0,0,0.14
