stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,4.51,1.69,0,3.66,0,4.23,0,0,0,0,0,1.41,7.61,0.28,3.38,0.85,0.28,335.4,123.45,0.28,5.07,0.28,0,4.51,0.28,0.56,0.28,0
21Day,3.33,0.37,0.74,2.59,0.37,4.07,0.37,0,0.37,0,0.74,0.74,2.96,0.37,7.4,0,0,144.29,58.46,1.48,4.07,7.03,0.74,1.48,0.74,1.85,1.11,1.85
3Month,0,0,0,0.1,0,0,0,0.21,0.21,0.1,0,0,0,0,0.1,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0,0.14,0,0,0,0.14,1.91,0.14,0,0.14,0.14,0.27,0.27,0,0,1.23,0.14,0,0,0,0.27,0,0,0,0,0
