stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.56,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,17.39,0,0,0,0,0,0,0,1.48,0.37,0.74,0,0,0,0.74,0,1.11,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.1,113.48,0.1,0.21,0.73,3.74,0.52,0.1,2.39,2.91,2.08,1.04,0.73,0.31,0.1,6.76,0.1,0,0.1,0.1,0,0,0.1,0.62,0.83,0.1,0.31,1.46,0.62
22Month,0.27,0.41,8.34,0,0.27,0.55,2.6,0.14,0.14,0.27,0.27,0.14,1.23,0.14,0,0,1.5,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0.41
