stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.81,0,0,0,0.37,0,1.85,0,0,2.96,0.37,1.11,0,0,0.37,1.11,0.37,0,0,0,0,0,0,0,0,0.74
3Month,0.1,0.21,0.31,7.07,0,0.1,0.31,0.83,0,0.1,0.1,0.1,2.91,0.83,0.1,0.1,0,0,0,0,0.1,0.21,0.1,0.21,0.1,0.1,0.1,0.1,1.14
22Month,0,0.82,0,2.32,0.14,0.55,0.68,1.91,0.27,0.82,1.09,0,1.09,0.96,0.14,0,0.14,0,0,0,0,0.27,0,0,0,0,0,0,1.37
