stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,0,1.97,1.13,0,0,0,0,0,0.28,0,0.28,0,0,3.1,1.97,3.95,0,12.97,0,4.79,0,0
21Day,0,6.29,0,0.37,0,0.37,0,0,0,0,0,0,0,0.74,1.85,0,4.07,1.48,0.74,0.74,15.91,0,1.11,0,0.37
3Month,0,3.54,0.1,0.31,0,0,0.1,0.1,12.69,0.21,0.1,0,0.21,0.21,0.21,0.1,0.1,0,0,0.42,0.1,0,0.1,0.42,0.21
22Month,0,1.91,0,0.14,0,0,0.27,0,0.41,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0.14
