stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0,0,0,0,35.51,2.25,0,0,0,0.28,0,0.56,0,0,0.28,0,0,0
21Day,0,0,1.85,0.37,0,0,0,0,0,0,0,0,0,0,1.11,1.11,0,0,0.37,0,13.69,0,0,0.37,0,0.37,0.37,0.74,0,0.37,0,0,0,0
3Month,0.1,0.1,3.95,0,0.52,1.25,0,0,3.64,1.35,0.1,1.35,0.94,0.52,1.98,0.94,0.31,0,0.42,0.52,74.48,0.21,0.52,0.52,0,0,1.04,78.95,0.62,0,0,0.21,99.13,0.52
22Month,0,0.14,0.68,0,0,0.55,0.14,0,4.65,0.55,0,0.96,0.14,0,0.55,0.55,0,0.14,0.14,0,19.68,0.14,0.68,0,0.14,0.14,0,8.47,0.41,0,0,0,0,0.14
