stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,6.66,0,0,0,0.37,0,0,0,0,0,1.11,0,0.37,0,3.7,0,1.11,0,0,0,0,0,0,0,0,0
3Month,0.1,0.31,0.21,13.31,0.1,0,0.1,0.42,1.77,0.52,0.1,0.94,0.42,1.04,0.42,0.83,0.1,78.12,0.1,0.21,0.21,0,0.31,0.94,0.1,0.1,0.31,0.31,0.42
22Month,0,0.68,0,6.29,0,0.14,0.27,0.27,1.91,0,0.41,0.55,0.14,0.27,0.14,0.27,0,37.44,0.14,0,0,0.41,0,1.37,0,0,0,0,0
