stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.69,0,0,0,0,8.74,1.69,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,1.11,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,4.81,1.48,0.74,0,0.74,0,0.37,1.11,0,0,0,0
3Month,0,0.21,0,2.7,0.1,0,0.1,0.21,0,0.42,0,1.14,0.21,0.31,0.94,0,0.52,0.42,0.73,0.31,0,0.31,0.21,0.42,0,8.22,0.31,0,0.1,15.81,0,0,0.31,2.39,0.31
22Month,0,4.78,0.82,3.55,0,0,0.68,0.41,0.41,5.06,3.42,44.96,1.23,1.64,3.83,0.27,1.23,4.51,10.93,0.14,4.1,0.68,0.14,1.23,0.41,8.75,1.64,0.41,0,5.6,3.14,0.14,0.96,0,0.82
