stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Radial_glia,T_cell
21Day,0,0.37,0,0,0,0.74,0,0.37,0,0.37,0,0
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0
22Month,0.27,0,0.14,0.14,0.55,0.27,0.41,3.83,0.14,0,0.14,0.82
