stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.56,0,0,0,0,0,0.28,0.28,0,0.56,0,0,52.14,1.69,0,0.28,1.13,0,0.56,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,1.11,0,0.37,0,0,9.99,0.74,0,0.37,0,0,0,0.37,0
3Month,0,0,0,0,0,0,1.04,0.21,0.21,0,0,0.21,0.83,0.21,0,0,0,0,0,0,0.1,0,0,0.21
22Month,0,0.55,0,0,0.41,0.14,4.37,0,0.55,0,0.14,0.41,0.27,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0
