stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0.56,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0.37,0,0,0.74,3.7,0,0.37,0.37,2.96,0.37,0,0,0,0.37,0,0,0,0.37,0,0,5.92
3Month,0.42,0.21,1.14,0,0.1,4.47,0,1.46,6.14,0.21,0.21,0,0.21,3.02,0.31,0.1,0,0.21,0,0,0.31,3.12,0,0.1,3.33,3.64
22Month,0.27,0,0.55,0.14,0.14,9.7,0.27,2.46,5.19,0.27,0.14,0,0.14,3.83,1.09,0,0.14,0,0,0.14,0,0.68,0,0,0,2.05
