stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0.56,0.28,0.56,0,0.28,1.97,1.41,0,0,1.13,0.28,0.28,0.56,0.28,0,0,0
21Day,0.74,0,0,2.22,0,0,0,0,0,0,0,0,0.74,0.37,1.85,0,0,0.37,2.22,0,0,1.11,0,0,0.37,0,0,0,0
3Month,0,0.42,0.1,1.46,0,0.1,0.94,0,2.18,0.52,1.25,0.31,0.31,0.31,0.42,0.1,0,0,0,0.1,0.1,0.1,0.1,2.18,0,0,0.21,0.1,0.42
22Month,0,0,0.14,0.96,0,0.14,0.68,0.27,6.15,0.27,0.27,0,0,1.5,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
