stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,31,0.85,0,0,0.85,0,0,0.28,0,0,0.56,0,0
21Day,0.37,0,0,1.11,0.74,0.37,0,0,0,0,0,0.74,0,0,0,0,23.31,1.11,0.37,0.37,0.37,1.85,0,0.37,0,0.74,0,0,0.37
3Month,0,0.1,0,0.62,0,0,0.1,0,0.73,0.1,0.31,0.21,0.21,0.1,0,0.1,0.42,0,0,0,0,0,0.31,0,0,0,0,0.1,0
22Month,0,0.14,0.14,0.27,0,0,0.14,0.14,4.51,0,0.27,0,0.14,0.14,0.14,0,0.14,0,0.27,0,0.14,0,0.41,0,0.14,0,0,0,0
