stage,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,3,0,0,11,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,0.56,0,10.99,1.97,0,0.56,0,1.41,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.11,0,2.59,0,0,0,0,0,0,0,0,0
3Month,0,0.52,0,0,0.73,0.1,0,0.42,0.31,0.42,0.42,0.52,0.52,0,0.1,0,2.5,0,0.1,0,0.31,0.1
22Month,0.14,0,0.41,0.27,3.42,0.27,0.14,0.41,0,0.41,0.14,0.14,0,0.14,0.14,0,0.14,0.14,0,0.14,0,0
