stage,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Neural_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0.56,0,0.28,0
21Day,0.37,0.37,0,0,0,0.37,2.22,4.81
22Month,0,0,1.5,0.14,0,0,0,0
