stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,23,0,0,0,0,1,2,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.97,0,1.69,0,0,0,0,0,0,0,0,0,0,0,1.69,1.13,0,1.13,0,0,0,0,0.28,1.13,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0,1.85,0,12.21,0,0,0,1.11,0,0,0,0,0,0.37,0,0.37,2.59,1.11,0.74,0,0,0,0,1.48,0,1.48,0,0.37,1.11,0,0.37,0,0,0,0,0
3Month,0.1,4.58,0.52,76.66,0.31,0.21,0.1,35.47,1.25,0,0,7.39,2.18,0.1,6.76,4.99,3.54,4.78,5.72,0.83,0.31,2.18,1.56,0.62,0,4.99,0.21,0,0.83,0.1,4.58,0.21,0.1,1.56,3.33,0.73
22Month,0.27,1.64,0.82,19.68,0.14,0,0,8.34,0.55,0.41,0,11.07,0.14,0,3.28,0.68,0.27,0.96,3.28,0.14,0,0.82,0,0,0,3.01,0.27,0.14,0,0,0.82,0,0.14,0.14,0,0
