stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,1,0,0,0,0,0,79,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,4.23,0.85,0,0,0,0,0,0,0,0.28,137.82,0,1.69,0,0,5.92,2.54,0,1.69,0,0,0.56,0,0,0.28,0,0,0
21Day,0.37,5.92,0.37,0,0,0,0.37,0,0.37,0,0,49.95,0,0.37,0,0,1.48,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0
3Month,0,9.15,0,0.21,0.1,0,2.08,0.1,0,0.21,0.21,0.1,0.21,0.1,0,0.1,0,0,0,0,0.1,1.25,0,0,0,0,0.1,0.42,0.1
22Month,0,0,0,0.27,0,0,1.91,0.14,0,0,0,0,0.27,0,0.14,0,0,0.14,0.14,0,0,1.09,0,0,0,0,0,0,0.14
