stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,1.69,12.68,0.28,0.28,0,0.56,0.56,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.74,0.37,2.59,0.37,0,0,0.37,2.59,0,0,0.37,0,0,0.74
3Month,0,0,1.35,0.1,0.1,0,0.1,0.1,0.31,0.42,0.52,1.04,0.62,0.21,0,0,0.42,0.1,0.1,0,0,0.1,5.62,0,0,0,0,1.56,0.94
22Month,0,0.41,0.96,0.14,0.14,1.23,0.82,6.29,0.82,0.41,0.14,0.68,0.55,0,0.14,0,0,0,0,0,28.97,0,5.6,0.27,0.14,0,0.14,0,1.09
