stage,Cardiomyocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.74
3Month,0.1,0.1,0.31,0.1,0.1,0,0,0.1,5.41,5.93,0
22Month,0,0,0,0,0,0,0,0,0.68,0.14,0
