stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0,1,0,0
72hpf,0.28,0,0,0,0,0,0,4.51,0,0.28,0.85,0,0,0
21Day,2.96,0,0,0,0,0,0,1.85,0,0,0,0,0,0
3Month,4.68,0.21,0,0.1,0.1,0,0.1,0.21,0.21,0.1,0,0,0.31,0.94
22Month,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0
