stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.85,0.85,0,0,0,0,0,0,0,0,1.97,0,1.13,0,0.28,0,102.59,5.36,1.41,0,1.97,0,0,2.54,0,1.69,0,0,0
21Day,0.37,0,0.37,1.48,0.37,1.11,0,0,0,0,0,0.37,0,0.37,0.74,0.74,2.22,0,0,0,49.58,1.48,0,0,2.22,0.74,0.37,0.74,1.11,0,0,0.37,0.37
3Month,0,0.1,0,0.73,0,0,0.1,0.21,0,0.42,0,0,1.56,0,0.21,0.31,0.42,0.1,0,0.21,2.39,0.42,1.87,0.1,0,0,1.56,0,0,0,0.73,0.21,0.1
22Month,0.14,0.14,0.14,1.09,0,0,0,0.82,0.14,2.19,0.14,0,0.27,0,0.14,0.14,0.68,0,0.14,0,1.23,0,2.46,0,0,0.14,2.87,0.14,0,0,0.27,0,0
