stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,23.96,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,1.11,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0.37,31.45,0.37,0.37,0.74,0.74,1.11,0,0.74,0.37,0,0,0.37
3Month,0,0.1,0.42,0,0,0,0,0,0,0,0.21,0.1,0.21,0.1,0.1,0,1.04,0,0,0.1,0,0,0.1,0,0,0,0.1,0.1
22Month,0,0.55,0,0,0.14,0.27,1.5,0,0.14,0.14,0.14,0.14,0,0,0,0,1.91,0.14,0.14,0.27,0,0,0,0,0,0.14,0,0
