stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0,0,0,0,0.56,0.28,0,0,0
21Day,0,1.85,0,0.37,0,0,0,0.74,0.74,0,1.11,1.85,0.74,0,0,0,0,0.37,0,0,1.48
3Month,0.1,0.73,0,0,0.1,0.62,0.1,1.25,0,0,0.1,1.56,2.08,0.52,0.1,0.1,0,0.21,0,0.21,0.62
22Month,0,0,0.14,0,0,0.27,0,0,0,0.14,0,1.78,0.82,0,0,0,0,0,0.14,0,0.27
