stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0,2.54,1.69,0,0,1.41,0,0,0,0.56,0,0,0
21Day,0.37,0,0,2.22,0.37,0.74,0,0,0.37,0,0,0.37,0,0.37,0.74,0.37,1.11,0,2.96,0,0,0,2.22,0.37,0,0.37,1.48,0.37,0,0,0,0,0,0.74
3Month,0,0.73,0.1,7.91,0,0,0.21,0.21,3.64,0.62,0,6.14,0.62,0.31,3.54,1.66,1.56,1.56,1.46,0.21,1.14,0.31,1.35,0,0.42,0,0.21,0.21,2.29,0,0,0.62,0.31,0.94
22Month,0.27,0.27,0.14,0.55,0,0,0,0,0.68,0.27,0.68,5.47,0,0,1.91,0.27,0.14,0.27,1.09,0,0.41,0,0,0,0.27,0,0,0,0.27,0.14,0,0,0,0.14
