stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,1,3,2,0,0,0
72hpf,0,0,0,0,0,0.56,0,0.56,2.25,0
21Day,0,0,0,0,0,0,0,0,1.48,0
3Month,0.1,0.1,0,0,0,0,0,0,0.21,0.1
22Month,0,0,0.27,0.14,0,0,0,0,0,0
