stage,Hepatocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,3,0
72hpf,0,0.56,0,0,0.28
21Day,0,1.11,0,0,0
22Month,0.27,0,0.14,0,0
