stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Primordial_germ_cell
3Month,0.21,0,0,0.1,0,0.1,2.08,0
22Month,0.14,0.68,0.14,0.14,0.14,0,1.64,0.14
