stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,23,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.66,0,0,0,0.28,0.56,0.28,0.85,0,0,0,0
21Day,9.99,1.11,0,0.37,2.96,0.74,1.11,0,0.37,0,0,0
3Month,1.25,0.1,0.1,0,0,0,0,0,0.1,0.52,0.1,0.21
