stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,6,1,0,3,0,0,0,2,0,0,0,0,0,1,18,0,5,433,5,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0.28,0,6.48,0,0.28,1.13,5.92,0,0,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0
3Month,0,0,0,4.06,0.1,0.42,0,0,0.83,0.21,0.52,0.1,0.1,0.42,0.21,0.1,0,0,0,0.1,0.1,0,0.31,0.21
22Month,0,0.14,0,0.14,0,0.14,0.27,0,0.55,0,2.05,0,0,0,0,0,0,0,0,0,0.41,0,0,0
