stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,2,6,0,0,0,0,0,0,0
72hpf,0.56,0,1.13,19.45,0,0,0,0,0,0,0,0,6.48,0,0.85,11.56,0.85,0.28,0.85,0,0,0.28,0,0
21Day,0,0,2.22,2.59,0,0,0,0,0,0.37,0,0.74,5.18,0.74,0.37,11.1,0.37,0,1.11,0,0,0.37,0,0
3Month,0,0,0.31,0,0.31,0.1,0,1.98,0.1,0.1,0.1,0,0.42,0,0.1,0.1,0,0.1,0,0.42,7.49,0,0.1,1.46
22Month,0,0.27,0.27,0,0.14,0.27,0.14,2.73,0,0,0.82,0,0.14,0.14,0.68,0,0,0.27,0,0,2.19,0,0,0
