stage,Cardiomyocyte,Endothelial.cell,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythroid.progenitor.cell,Fibroblast,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,0,1,8,2,0,0,0,0,0,0,0,0,0,5,1,1,10,0,0,0,7,24,0,0,5,0,0,0,0,0,0,0,0
72hpf,1.69108833601934,0.281848056003223,7.3280494560838,1.97293639202256,2.81848056003223,0,0,0.281848056003223,0,0,0,0,0,2.25478444802579,9.30098584810637,0,7.04620140008058,0,0,0.281848056003223,16.6290353041902,9.86468196011281,0,0.84554416800967,177.564275282031,0,0,1.40924028001612,0,1.40924028001612,0,0,0
21Day,1.47994744105713,0,2.95989488211426,1.10996058079285,1.10996058079285,0,0.369986860264282,0,0,0.739973720528564,0,0,0,0,1.47994744105713,0.369986860264282,20.7192641747998,0,0,2.58990802184998,6.2897766244928,1.84993430132141,0,0.369986860264282,99.8964522713562,1.47994744105713,0.369986860264282,0,1.10996058079285,0.739973720528564,0,0,0.369986860264282
3Month,0,0.624102039868036,2.18435713953813,0,0,0.104017006644673,0,2.39239115282747,0,5.3048673388783,0.104017006644673,0.104017006644673,0.520085033223363,0.520085033223363,1.56025509967009,0.208034013289345,0.728119046512708,0.208034013289345,0.104017006644673,0.416068026578691,0.208034013289345,0.208034013289345,0.104017006644673,0,16.7467380697923,0.104017006644673,3.01649319269551,0,0,0,0.104017006644673,1.04017006644673,0.104017006644673
22Month,0,0.546597727952532,1.09319545590506,0,0,0,0,2.4596897757864,0.683247159940666,16.5345812705641,0.136649431988133,0,0.273298863976266,0,0,0.409948295964399,1.36649431988133,0,1.36649431988133,0.683247159940666,0,0,0.136649431988133,0.273298863976266,13.1183454708608,0.136649431988133,2.049741479822,0.136649431988133,0,0,0,0,0
