stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0.28,0,0.28,0,3.95,0,0,0.28,0,0,0
21Day,0.37,0.37,0,0.37,0.74,0.74,1.48,1.48,1.11,24.05,0,0.37,1.85,1.11,0.37,0.37
22Month,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0
