stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0
3Month,0.31,1.46,0.1,0.1,0.1,0.31,0,0,0.42,0.1,0.1,0.21,2.5,0.1,0,0.1,0.1,1.04
22Month,0.14,0.14,0,0,0,0,0.27,0.14,0.55,0,0,0,0.82,0,0,0,0,0
