stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.07,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.1,0.1,0.62,0,0.42,0.42,0.73,0.21,0.83,0,0.21,0,0.21,0.52,0,0.1,0.1
22Month,0.27,0,0.82,0,0,0.27,4.51,0,2.46,0.14,0.14,0.14,0.14,0.41,0.14,0,0.14
