stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,2,5,0,0,0,1,0,0,0,1,2,3,2,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0.28,0.56,10.71,0,0,0,0.28,0,2.54,3.38,0,0.56,0.28,0,0.28,9.02,21.98,0,0.28,0,0.28,0.28,0,3.1,0,0,0.28,0,0
21Day,0,0,8.51,0,0,0,0,0,0.74,1.48,0,1.11,0.37,1.48,0,0.37,0,1.11,4.07,0.37,0,0,0,0,0.37,1.48,0,0.37,0,0,0.74
3Month,0,0,0.42,0,0,0.1,0,1.77,0,0.1,0,0.1,0.42,0,0,0,0,0,0,0,0,0,0,0.1,11.13,0,0,0,0,1.77,0.1
22Month,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0.82,0,0.14,0,0,0,0.14
