stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0.37,1.85,0,0,0,0,0,0,0,0,0,0
3Month,0.1,13.11,0,0,0.1,0.42,0.21,0,1.14,0,0.83,0.52,0.21,0.1,0,0.1,0,0,0.52,0.1,0.62
22Month,0.41,0.55,0.55,0.27,0.27,28.83,0.41,0.27,2.6,0,0.14,1.09,0.82,0,0.96,0,0.14,0.14,0.55,0,0.14
